INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Lebensmittel', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Lebensmittel', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Hobbies', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Fahrtkosten', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Bueromaterial', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Miete', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Ausgehen', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Kleidung', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Versicherungen', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Geschenke', 1);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Multimedia', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Sonstige', 0);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Gehalt', 1);
INSERT INTO haushaltsdaten.kategorie (name, eingang) VALUES ('Geldanlagen', 1);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 5, 4.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 3, 6.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 2, 60.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Einzahlung', '2017-04-20', 3, 30.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 3, 3.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 8, 50.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Einzahlung', '2017-04-20', 3, 4.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 4, 7.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 3, 10.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-20', 7, 10.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Einzahlung', '2017-04-20', 14, 6.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-13', 4, 3.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Einzahlung', '2017-02-03', 13, 800.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-05-01', 6, 380.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-03-02', 5, 10.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2016-12-14', 7, 30.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-05-02', 7, 20.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-26', 9, 50.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Auszahlung', '2017-04-29', 11, 300.00);
INSERT INTO haushaltsdaten.transaktion (zahlungsart, datum, kategorie, betrag) VALUES ('Einzahlung', '2017-04-02', 13, 800.00);
